t,Tgas,Trad
3.81,0.7245053582765608,0.7244831499610689
3.8200000000000003,0.7245050247734431,0.724483369218763
3.83,0.7245046995488538,0.7244835830336445
3.84,0.724504382366238,0.7244837915612476
3.85,0.7245040730132888,0.7244839949411646
3.86,0.7245037713275819,0.7244841932801914
3.87,0.7245034771406283,0.7244843866891116
3.88,0.7245031902838479,0.7244845752787673
3.89,0.7245029105886605,0.72448475916
3.9,0.7245026378864858,0.7244849384436509
3.91,0.724502372008744,0.7244851132405602
3.92,0.7245021127868548,0.7244852836615678
3.93,0.7245018600522382,0.7244854498175132
3.94,0.7245016136363137,0.7244856118192348
3.95,0.7245013733705017,0.7244857697775711
3.96,0.7245011390862216,0.7244859238033596
3.97,0.7245009106148935,0.7244860740074377
3.98,0.7245006877879373,0.7244862205006422
3.99,0.7245004704372976,0.7244863633934643
4.,0.7245002584189099,0.7244865027806228
4.01,0.7245000516214833,0.7244866387352895
4.0200000000000005,0.7244998499360437,0.7244867713291131
4.03,0.7244996532536168,0.7244869006337415
4.04,0.7244994614652286,0.7244870267208231
4.05,0.7244992744619048,0.7244871496620052
4.0600000000000005,0.7244990921346713,0.7244872695289354
4.07,0.724498914374554,0.7244873863932606
4.08,0.7244987410725787,0.7244875003266279
4.09,0.7244985721197713,0.7244876114006839
4.1,0.7244984074071577,0.7244877196870748
4.11,0.7244982468257635,0.724487825257447
4.12,0.7244980902666146,0.7244879281834463
4.13,0.7244979376207371,0.7244880285367186
4.14,0.7244977887558467,0.7244881264042338
4.15,0.7244976435528185,0.7244882218643106
4.16,0.7244975019357961,0.724488314966822
4.17,0.7244973638290954,0.7244884057615268
4.18,0.7244972291570325,0.7244884942981845
4.19,0.7244970978439235,0.7244885806265536
4.2,0.7244969698140843,0.7244886647963932
4.21,0.7244968449918312,0.7244887468574617
4.22,0.72449672330148,0.7244888268595178
4.23,0.7244966046673469,0.7244889048523198
4.24,0.7244964890137479,0.7244889808856261
4.25,0.724496376264999,0.7244890550091947
4.26,0.7244962663454162,0.7244891272727838
4.2700000000000005,0.7244961591793158,0.7244891977261515
4.28,0.7244960546869716,0.7244892664217126
4.29,0.7244959527674486,0.7244893334258259
4.3,0.7244958533591584,0.7244893987789821
4.3100000000000005,0.724495756408984,0.7244894625161029
4.32,0.7244956618638083,0.7244895246721098
4.33,0.7244955696705142,0.7244895852819244
4.34,0.7244954797759847,0.7244896443804681
4.3500000000000005,0.7244953921271027,0.7244897020026623
4.36,0.724495306670751,0.7244897581834282
4.37,0.7244952233538128,0.724489812957687
4.38,0.7244951421231709,0.7244898663603601
4.39,0.7244950629257082,0.7244899184263686
4.4,0.7244949857083076,0.7244899691906334
4.41,0.7244949104178521,0.7244900186880756
4.42,0.7244948370012246,0.7244900669536164
4.43,0.7244947653952098,0.7244901140288152
4.44,0.7244946955440543,0.7244901599503264
4.45,0.7244946274117662,0.7244902047418122
4.46,0.7244945609624291,0.7244902484268855
4.47,0.7244944961601271,0.7244902910291585
4.48,0.7244944329689437,0.7244903325722442
4.49,0.7244943713529628,0.7244903730797547
4.5,0.7244943112762683,0.7244904125753029
4.51,0.7244942527029439,0.724490451082501
4.5200000000000005,0.7244941955970733,0.7244904886249617
4.53,0.7244941399227404,0.7244905252262973
4.54,0.724494085644029,0.7244905609101201
4.55,0.7244940327250228,0.7244905957000427
4.5600000000000005,0.7244939811298057,0.7244906296196774
4.57,0.7244939308186416,0.7244906626951475
4.58,0.7244938817291573,0.7244906949674589
4.59,0.7244938338313084,0.7244907264563635
4.6000000000000005,0.7244937871025839,0.7244907571766609
4.61,0.724493741520473,0.7244907871431503
4.62,0.7244936970624645,0.7244908163706312
4.63,0.7244936537060477,0.7244908448739028
4.64,0.7244936114287116,0.7244908726677645
4.65,0.7244935702079455,0.7244908997670155
4.66,0.7244935300212382,0.7244909261864554
4.67,0.7244934908460788,0.7244909519408831
4.68,0.7244934526599567,0.7244909770450981
4.69,0.7244934154403606,0.7244910015138997
4.7,0.72449337916478,0.724491025362087
4.71,0.7244933438107035,0.7244910486044592
4.72,0.7244933093556206,0.7244910712558158
4.73,0.7244932757770203,0.7244910933309557
4.74,0.7244932430523915,0.7244911148446784
4.75,0.7244932111534581,0.7244911358155731
4.76,0.7244931800351794,0.7244911562732507
4.7700000000000005,0.7244931496790329,0.724491176229888
4.78,0.724493120069747,0.7244911956955251
4.79,0.7244930911920496,0.7244912146802023
4.8,0.7244930630306692,0.7244912331939594
4.8100000000000005,0.7244930355703336,0.7244912512468367
4.82,0.7244930087957712,0.7244912688488739
4.83,0.72449298269171,0.7244912860101116
4.84,0.7244929572428782,0.7244913027405895
4.8500000000000005,0.724492932434004,0.7244913190503476
4.86,0.7244929082498155,0.7244913349494262
4.87,0.7244928846750409,0.7244913504478652
4.88,0.7244928616944082,0.7244913655557046
4.89,0.7244928392926457,0.7244913802829845
4.9,0.7244928174544817,0.724491394639745
4.91,0.724492796164644,0.7244914086360259
4.92,0.724492775407861,0.7244914222818675
4.93,0.7244927551648163,0.7244914355899684
4.94,0.7244927354125139,0.7244914485754468
4.95,0.724492716140747,0.724491461245013
4.96,0.7244926973399273,0.7244914736049701
4.97,0.7244926790004669,0.7244914856616218
4.98,0.7244926611127778,0.7244914974212713
4.99,0.724492643667272,0.724491508890222
5.,0.7244926266543615,0.7244915200747771
5.01,0.7244926100644583,0.7244915309812402
5.0200000000000005,0.7244925938879744,0.7244915416159144
5.03,0.7244925781153216,0.7244915519851033
5.04,0.7244925627369122,0.7244915620951099
5.05,0.7244925477431581,0.7244915719522378
5.0600000000000005,0.724492533124471,0.7244915815627903
5.07,0.7244925188712634,0.7244915909330706
5.08,0.7244925049739469,0.7244916000693821
5.09,0.7244924914229336,0.7244916089780282
5.1000000000000005,0.7244924782086355,0.7244916176653122
5.11,0.724492465317662,0.7244916261400375
5.12,0.7244924527367936,0.7244916344108944
5.13,0.7244924404602311,0.7244916424816957
5.14,0.7244924284822526,0.724491650356203
5.15,0.7244924167971364,0.7244916580381779
5.16,0.7244924053991608,0.7244916655313819
5.17,0.724492394282604,0.7244916728395767
5.18,0.7244923834417443,0.7244916799665237
5.19,0.7244923728708598,0.7244916869159846
5.2,0.7244923625642289,0.7244916936917212
5.21,0.7244923525161298,0.7244917002974947
5.22,0.7244923427208406,0.7244917067370669
5.23,0.7244923331726398,0.7244917130141993
5.24,0.7244923238658055,0.7244917191326536
5.25,0.724492314794616,0.7244917250961913
5.26,0.7244923059533493,0.724491730908574
5.2700000000000005,0.7244922973362841,0.7244917365735632
5.28,0.724492288937693,0.7244917420949241
5.29,0.724492280747035,0.7244917474795866
5.3,0.7244922727556063,0.7244917527332724
5.3100000000000005,0.7244922649595157,0.7244917578585399
5.32,0.7244922573548717,0.7244917628579475
5.33,0.7244922499377827,0.7244917677340534
5.34,0.7244922427043574,0.7244917724894161
5.3500000000000005,0.7244922356507043,0.7244917771265937
5.36,0.7244922287729318,0.7244917816481447
5.37,0.7244922220671486,0.7244917860566272
5.38,0.7244922155294631,0.7244917903545997
5.39,0.7244922091559839,0.7244917945446204
5.4,0.7244922029428195,0.7244917986292477
5.41,0.7244921968860784,0.72449180261104
5.42,0.7244921909818691,0.7244918064925554
5.43,0.7244921852263003,0.7244918102763523
5.44,0.7244921796154805,0.7244918139649891
5.45,0.724492174145518,0.724491817561024
5.46,0.7244921688125151,0.7244918210670196
5.47,0.7244921636125674,0.7244918244855427
5.48,0.7244921585425612,0.7244918278186404
5.49,0.7244921535996246,0.7244918310682005
5.5,0.7244921487808857,0.7244918342361111
5.51,0.7244921440834727,0.7244918373242603
5.5200000000000005,0.7244921395045134,0.7244918403345361
5.53,0.7244921350411362,0.7244918432688265
5.54,0.7244921306904689,0.7244918461290197
5.55,0.7244921264496398,0.7244918489170038
5.5600000000000005,0.7244921223157769,0.7244918516346666
5.57,0.7244921182860082,0.7244918542838962
5.58,0.7244921143574619,0.7244918568665808
5.59,0.724492110527266,0.7244918593846082
5.6000000000000005,0.7244921067925487,0.7244918618398667
5.61,0.7244921031504379,0.7244918642342442
5.62,0.7244920995980618,0.7244918665696287
5.63,0.7244920961325485,0.7244918688479084
5.64,0.724492092751026,0.7244918710709713
5.65,0.7244920894506224,0.7244918732407053
5.66,0.7244920862284658,0.7244918753589986
5.67,0.7244920830816843,0.7244918774277392
5.68,0.7244920800080282,0.7244918794484061
5.69,0.7244920770116117,0.7244918814182946
5.7,0.7244920740921724,0.724491883337577
5.71,0.7244920712476709,0.7244918852075941
5.72,0.7244920684760676,0.7244918870296869
5.73,0.724492065775323,0.7244918888051962
5.74,0.7244920631433974,0.7244918905354628
5.75,0.7244920605782514,0.7244918922218276
5.76,0.7244920580778454,0.7244918938656313
5.7700000000000005,0.7244920556401397,0.7244918954682149
5.78,0.724492053263095,0.7244918970309191
5.79,0.7244920509446714,0.7244918985550848
5.8,0.7244920486828296,0.7244919000420528
5.8100000000000005,0.7244920464755299,0.724491901493164
5.82,0.7244920443207328,0.7244919029097593
5.83,0.7244920422163987,0.7244919042931794
5.84,0.7244920401604882,0.7244919056447653
5.8500000000000005,0.7244920381509614,0.7244919069658576
5.86,0.7244920361857791,0.7244919082577973
5.87,0.7244920342629014,0.7244919095219252
5.88,0.724492032380289,0.7244919107595823
5.89,0.7244920305359024,0.7244919119721092
5.9,0.7244920287293894,0.7244919131597373
5.91,0.7244920269673761,0.7244919143181106
5.92,0.7244920252498946,0.724491915447208
5.93,0.7244920235759026,0.724491916547715
5.94,0.7244920219443574,0.7244919176203167
5.95,0.7244920203542167,0.7244919186656984
5.96,0.7244920188044381,0.7244919196845455
5.97,0.7244920172939794,0.7244919206775433
5.98,0.7244920158217979,0.7244919216453769
5.99,0.7244920143868513,0.7244919225887319
6.,0.7244920129880971,0.7244919235082933
6.01,0.7244920116244931,0.7244919244047465
6.0200000000000005,0.7244920102949967,0.7244919252787769
6.03,0.7244920089985655,0.7244919261310697
6.04,0.7244920077341572,0.7244919269623101
6.05,0.7244920065007293,0.7244919277731837
6.0600000000000005,0.7244920052972394,0.7244919285643755
6.07,0.7244920041226451,0.7244919293365709
6.08,0.7244920029759041,0.7244919300904553
6.09,0.7244920018559738,0.7244919308267138
6.1000000000000005,0.724492000761812,0.7244919315460318
6.11,0.724491999692376,0.7244919322490946
6.12,0.7244919986478635,0.7244919329357724
6.13,0.7244919976306085,0.7244919336045308
6.140000000000001,0.7244919966401315,0.7244919342556847
6.15,0.7244919956758002,0.7244919348896501
6.16,0.7244919947369816,0.7244919355068432
6.17,0.7244919938230429,0.7244919361076799
6.18,0.7244919929333512,0.7244919366925762
6.19,0.724491992067274,0.724491937261948
6.2,0.7244919912241782,0.7244919378162115
6.21,0.7244919904034313,0.7244919383557825
6.22,0.7244919896044003,0.7244919388810771
6.23,0.7244919888264525,0.7244919393925113
6.24,0.7244919880689551,0.7244919398905011
6.25,0.7244919873312753,0.7244919403754626
6.26,0.7244919866127804,0.7244919408478115
6.2700000000000005,0.7244919859128376,0.7244919413079642
6.28,0.7244919852308139,0.7244919417563365
6.29,0.7244919845660768,0.7244919421933443
6.3,0.7244919839179934,0.7244919426194039
6.3100000000000005,0.7244919832859309,0.7244919430349309
6.32,0.7244919826692565,0.7244919434403417
6.33,0.7244919820673374,0.7244919438360521
6.34,0.7244919814788467,0.7244919442229344
6.3500000000000005,0.7244919809026035,0.7244919446017651
6.36,0.7244919803386017,0.7244919449725481
6.37,0.7244919797868415,0.7244919453352833
6.38,0.7244919792473231,0.7244919456899706
6.390000000000001,0.7244919787200461,0.7244919460366102
6.4,0.7244919782050108,0.7244919463752019
6.41,0.7244919777022171,0.7244919467057458
6.42,0.7244919772116649,0.7244919470282419
6.43,0.7244919767333543,0.7244919473426903
6.44,0.7244919762672853,0.7244919476490908
6.45,0.7244919758134579,0.7244919479474435
6.46,0.7244919753718722,0.7244919482377484
6.47,0.724491974942528,0.7244919485200055
6.48,0.7244919745254254,0.7244919487942149
6.49,0.7244919741205644,0.7244919490603764
6.5,0.7244919737279449,0.7244919493184901
6.51,0.7244919733475671,0.724491949568556
6.5200000000000005,0.7244919729794309,0.7244919498105742
6.53,0.7244919726235363,0.7244919500445445
6.54,0.7244919722798833,0.724491950270467
6.55,0.7244919719484718,0.7244919504883417
6.5600000000000005,0.7244919716292649,0.7244919506981929
6.57,0.724491971318819,0.7244919509022846
6.58,0.7244919710148818,0.7244919511020973
6.59,0.7244919707174534,0.724491951297631
6.6000000000000005,0.7244919704265338,0.7244919514888859
6.61,0.7244919701421229,0.7244919516758617
6.62,0.7244919698642207,0.7244919518585586
6.63,0.7244919695928274,0.7244919520369766
6.640000000000001,0.7244919693279427,0.7244919522111156
6.65,0.7244919690695668,0.7244919523809757
6.66,0.7244919688176997,0.7244919525465567
