# Athena++ data at time=1.800000e+00  cycle=1734  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0188  1.15938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0189  1.16563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0190  1.17188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0191  1.17812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0192  1.18437e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0193  1.19063e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0194  1.19688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0195  1.20312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0196  1.20938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0197  1.21563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0198  1.22188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0199  1.22812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0200  1.23438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0201  1.24063e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0202  1.24688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0203  1.25312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0204  1.25937e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0205  1.26562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0206  1.27188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0207  1.27812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0208  1.28437e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0209  1.29062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0210  1.29688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0211  1.30312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0212  1.30937e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0213  1.31563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0214  1.32188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0215  1.32812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0216  1.33437e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0217  1.34062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0218  1.34688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0219  1.35313e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0220  1.35938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0221  1.36563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0222  1.37188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0223  1.37813e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0224  1.38437e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0225  1.39062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0226  1.39688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0227  1.40313e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0228  1.40937e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0229  1.41562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0230  1.42188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0231  1.42813e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0232  1.43437e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0233  1.44062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0234  1.44687e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0235  1.45312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
