# x density velocity pressure
0.22583 0.262754 0.0561482 1.07803e-11
0.226318 0.262795 0.0562691 1.07855e-11
0.226807 0.262805 0.056388 1.07884e-11
0.227295 0.262807 0.0565094 1.07897e-11
0.227783 0.262817 0.0566279 1.07902e-11
0.228271 0.262901 0.0567499 1.07934e-11
0.22876 0.263029 0.0568677 1.0799e-11
0.229248 0.263136 0.0569896 1.08061e-11
0.229736 0.26321 0.0571078 1.08131e-11
0.230225 0.263242 0.0572293 1.08176e-11
0.230713 0.263248 0.0573473 1.08195e-11
0.231201 0.263255 0.0574691 1.082e-11
0.231689 0.263303 0.0575871 1.08219e-11
0.232178 0.263395 0.0577089 1.08258e-11
0.232666 0.263528 0.0578276 1.0833e-11
0.233154 0.263638 0.0579486 1.08414e-11
0.233643 0.263716 0.0580674 1.08479e-11
0.234131 0.263744 0.0581876 1.08514e-11
0.234619 0.263751 0.058307 1.08533e-11
0.235107 0.26375 0.0584266 1.08542e-11
0.235596 0.263761 0.0585474 1.08546e-11
0.236084 0.263857 0.0586664 1.08585e-11
0.236572 0.264031 0.0587876 1.08671e-11
0.237061 0.264172 0.0589061 1.08765e-11
0.237549 0.264237 0.0590265 1.08826e-11
0.238037 0.264253 0.0591455 1.0886e-11
0.238525 0.26425 0.0592653 1.0888e-11
0.239014 0.264251 0.0593855 1.08888e-11
0.239502 0.264266 0.0595051 1.08894e-11
0.23999 0.264372 0.0596253 1.08936e-11
0.240479 0.264538 0.0597449 1.09012e-11
0.240967 0.264658 0.0598641 1.09097e-11
0.241455 0.264726 0.0599843 1.09164e-11
0.241943 0.264739 0.0601027 1.09209e-11
0.242432 0.264748 0.0602244 1.09229e-11
0.24292 0.264755 0.0603418 1.09235e-11
0.243408 0.264805 0.0604637 1.09255e-11
0.243896 0.264934 0.0605817 1.09309e-11
0.244385 0.265049 0.0607024 1.09372e-11
0.244873 0.265162 0.0608217 1.09457e-11
0.245361 0.265221 0.060941 1.09522e-11
0.24585 0.265254 0.0610614 1.09559e-11
0.246338 0.265258 0.061179 1.09576e-11
0.246826 0.265265 0.0613008 1.0958e-11
0.247314 0.265335 0.0614189 1.09608e-11
0.247803 0.26542 0.0615387 1.09647e-11
0.248291 0.265604 0.0616606 1.09749e-11
0.248779 0.265708 0.061776 1.09841e-11
0.249268 0.265788 0.0619003 1.099e-11
0.249756 0.265814 0.0620147 1.09933e-11
0.250244 0.265811 0.0621378 1.09953e-11
0.250732 0.265814 0.0622549 1.09964e-11
0.251221 0.265824 0.0623762 1.09972e-11
0.251709 0.265934 0.062495 1.10014e-11
0.252197 0.266132 0.0626157 1.10108e-11
0.252686 0.266271 0.062733 1.1021e-11
0.253174 0.266362 0.0628555 1.10273e-11
0.253662 0.266364 0.0629695 1.10316e-11
0.25415 0.266373 0.063096 1.10339e-11
0.254639 0.266374 0.063207 1.10352e-11
0.255127 0.266386 0.0633355 1.10358e-11
0.255615 0.266494 0.0634469 1.10399e-11
0.256104 0.266634 0.0635731 1.10462e-11
0.256592 0.266793 0.0636868 1.10558e-11
0.25708 0.266879 0.0638109 1.10645e-11
0.257568 0.26692 0.0639253 1.10705e-11
0.258057 0.266939 0.0640496 1.10733e-11
0.258545 0.266945 0.064164 1.10742e-11
0.259033 0.266952 0.0642872 1.10749e-11
0.259521 0.267055 0.0644046 1.10788e-11
0.26001 0.26715 0.0645233 1.10836e-11
0.260498 0.267347 0.0646466 1.10951e-11
0.260986 0.267446 0.0647592 1.11044e-11
0.261475 0.267532 0.0648869 1.11101e-11
0.261963 0.267549 0.0649967 1.11133e-11
0.262451 0.267545 0.0651235 1.11154e-11
0.262939 0.267558 0.0652376 1.11166e-11
0.263428 0.267563 0.0653587 1.11178e-11
0.263916 0.267665 0.0654797 1.11216e-11
0.264404 0.267866 0.0655962 1.11314e-11
0.264893 0.268046 0.065718 1.11434e-11
0.265381 0.268165 0.0658354 1.11505e-11
0.265869 0.268179 0.0659541 1.11556e-11
0.266357 0.268187 0.0660741 1.11588e-11
0.266846 0.26819 0.0661919 1.11606e-11
0.267334 0.268193 0.0663126 1.11616e-11
0.267822 0.268223 0.0664308 1.11627e-11
0.268311 0.268369 0.0665512 1.11688e-11
0.268799 0.268555 0.0666687 1.11777e-11
0.269287 0.268712 0.0667896 1.11887e-11
0.269775 0.268788 0.066906 1.11971e-11
0.270264 0.268822 0.0670275 1.12022e-11
0.270752 0.268843 0.0671448 1.12048e-11
0.27124 0.268841 0.0672637 1.12063e-11
0.271729 0.26887 0.0673849 1.12073e-11
0.272217 0.268907 0.0674998 1.12087e-11
0.272705 0.269068 0.0676244 1.12158e-11
0.273193 0.269251 0.0677382 1.1227e-11
0.273682 0.269373 0.0678612 1.12382e-11
0.27417 0.26948 0.0679776 1.12447e-11
0.274658 0.269495 0.0680969 1.12485e-11
0.275146 0.269501 0.0682157 1.12507e-11
0.275635 0.269503 0.0683344 1.12522e-11
0.276123 0.269511 0.0684537 1.1253e-11
0.276611 0.269584 0.0685722 1.12559e-11
0.2771 0.269811 0.0686932 1.12661e-11
0.277588 0.269997 0.0688089 1.12784e-11
0.278076 0.270135 0.0689313 1.12883e-11
0.278564 0.270193 0.0690464 1.12939e-11
0.279053 0.27019 0.0691667 1.12975e-11
0.279541 0.270197 0.0692859 1.12996e-11
0.280029 0.270196 0.0694024 1.13012e-11
0.280518 0.27021 0.069525 1.13017e-11
0.281006 0.270334 0.0696406 1.13066e-11
